label	text_a	text_b
0	价格有优惠空间吗	一个人最高可以贷款60万
1	到时候看看吧	行
1	这套房源价格还有优惠空间吗？	还有空间，要看看吗？
0	临街？	罗哥
0	这房子多钱能拿下来	那这样的话 您心理价位是多少呢
0	三村的两房什么能看	您方便留一个电话给我，这样也可以及时联系您
0	采光怎么样	我对春田挺熟悉的，您是考虑的春田学区，考虑的春田，还是想改善换个三室的房子看到春田了客户
0	价格可再谈吗	你是在附近工作吗
1	底价多少	业主没说底价,咱先看房,此房我带看了很多次,跟业主关系不错。如果您看完想买，我会尽力去与业主沟通,谈价格。
0	税是不是我交	您这边是首套房吗？
0	什么情况嘛	继续稳
0	看了那么多我早忘记那套房子是什么户型了	有满意的户型肯定会记住的
1	你好，这房谈过价格吗？	全款业主1650万可以出售
1	您好，请问这套房子的底价是多少？	 275万问题不大
0	什么时候满2年	确实
1	初中呢？	中学是深圳市宝安区文汇学校初中部。
0	好久可以看房	您好，您之前咨询的绿地468公馆三期小区有新上房源，不知道您是否感兴趣？
0	税费高吗？	你是想考虑套二的房子嘛
1	是不是有这个户型的啊	嗯，这个户型少
0	大税多少钱，还是清水房	是的
0	我要家具家电啥用??	不超
0	价钱能谈到300万吗，一次性付款	315万底价
1	那这套房还多个个税吗	嗯，不唯一，多个个税
0	这个小区是上哪个小学呢	您好
0	您好，我想咨询龙湖佰乐街小区	您是想租房子啊？
0	您好，我想咨询#招南小区#小区	招南没有小区
0	首师大附中是新建的吧	明年估计就公布了  今年校区基本能完事
0	我想了解一下房子	随时能看
0	这套房源价格还有优惠空间吗？	您好，您之前咨询的朗诗未来家小区有新上房源，不知道您是否感兴趣？
1	学区是哪	三小也可以
1	我看房子挺老的，公积金能贷吗	82年钢混结构的
1	什么时候可以看	上午十点左右房东都在家
0	可以看一下不	那你现在方便不了
0	是最东户吗？证过几了	富民大街与乙三路交汇
0	您好，请问这个房子周边有哪些学校？	中学
0	这套装修怎样？	目前出租
1	请问首付和贷款是多少？	咱们是商贷还是公积金？
0	证满几年	一月份同户型成交价格115万
0	又带窗的低楼层的吗	你要几层楼的，85平有11层，6层顶的
1	这套方便看房吗	可以的  需要提前约
0	您好，请问这个房子周边有哪些学校	您这边的购房预算是多少？
0	周边环境怎样	您需要学位吗
0	最低成交就这个吗	嗯嗯，差不多
0	可以看看吗	105平122万
1	能看房吗	可以看房
0	明天可以看吗？	都看一下吗，还是只看芳园南里西区那套呢
1	今天能看吗	明天看可以不😂
0	在什么位置	是以前税务局给领导建的房子
0	这个目前最低多少钱	明天随时可以看
0	一共几期	边户都差不多
0	您好，我正在看华林紫微小区的房子	感谢您的咨询，我是21世纪不动产经纪人NAME，感谢您的信任并选择。
1	这个可以看房吗	可以的
0	什么时候可以看看二楼的	那您是明天什么时间方便，我来预约一下
1	附近能有h吗户型	没有H
0	6楼的有装修吗	124平的装修还是毛坯
0	是二手的装修房吗	此房是二手房
0	这个房子是税高是吗	好的，
0	挡阳光吗	毕竟价格都是谈成的嘛?
0	对了我还想看河东的一个房子	河东哪套房子？
0	也不知道业主心里价位？	房子有遮挡哦
0	给有增值税？	你稍等，我在落实一下。之前170万
0	您好，请问这个房子周边有哪些学校？	请问您主要是考虑川沙的学区房吗
1	这房子采光好吗	一个月5800采光是很好的
0	二套购买，首付要多少？	您好
0	挡光么	您这边方便留个联系方式吗
0	您看今天什么时候去看房合适	您好
0	税费要十几万?	您全款的话，当然是最低的过户指导价
1	这套房源有少没？	看上了可以谈的
0	想了解一下房子	您手机号是微信号吗
1	哪里？	小区位于大亚湾石化大道西333, 惠州市大亚湾龙山一路62号（锦绣壹号侧），附近有大亚湾樟浦小学，小区封闭管理，较为安静。
0	这个房子我2号或者4号要去看看，你看能约哪天？	您2号过来吧
1	您好，方便带我看下上次说的房子吗	您好，没问题的，我给您安排
0	有没有税	中高层的
1	房子可以看吗？	本房我得在约一下
0	现在有房本吗	咱们终于在一个频道上了?
0	什么时候能够看房呢？	火炬开发区的公立小学有：一小，二小，三小，四小，五小，六小，中心小学，香晖园小学，博凯小学
0	什么优惠	赶紧和我一起去看看
0	210的 晚上能不能看房	我先约房子吧
0	您好，请问这个房子周边有哪些学校？	绿怡居南区
0	有个税吗？	满五唯一
0	房子能看吗	您看的房子，满五年唯一，高层
0	价格能谈多少	房子你看过吗
1	和其他一层方便看的都看看	可以看
0	我得先看一下华盛的房子	付款快的话应该还能谈点
0	这套房源价格还有优惠空间么？	您好
1	130万含房子里所有物品吗？	家具家电一般都不带走的
1	您好，请问这个房子周边有哪些学校？	世界路小学
0	手套有什么优惠吗？	首套是首付三成
1	几楼的？价格能谈多少？	价格要谈
0	能谈多少	您好，您发的房子还在的，链家所有房源均为真实在售房源，想看看吗？我可以帮您约业主时间。
0	能介绍下这房子吗	没有学区
0	明珠那里是不	附近都可以吗
